Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,92506811,11850.26000337908,4844614,688015,2001773,256.4300969984161,93467,14718,
United States of America,Americas,23097938,69781.73,1650268,226608,385413,1164.38,23126,3891,Community transmission
India,South-East Asia,10542841,7639.72,129424,15158,152093,110.21,1523,175,Clusters of cases
Brazil,Americas,8324294,39162.2,362621,67758,207095,974.29,6597,1131,Community transmission
Russian Federation,Europe,3544623,24289.14,165520,24092,65085,445.99,3704,590,Clusters of cases
The United Kingdom,Europe,3316023,48846.93,358547,55761,87295,1285.91,7462,1280,Community transmission
France,Europe,2825764,43291.13,124106,20984,69561,1065.68,2512,633,Community transmission
Italy,Europe,2352423,38907.57,114533,16144,81325,1345.06,3414,477,Clusters of cases
Spain,Europe,2211967,47309.97,122348,0,53079,1135.26,632,0,Community transmission
Germany,Europe,2019636,24105.29,128055,18678,45974,548.72,6096,980,Community transmission
Colombia,Americas,1849101,36340.33,111754,17121,47491,933.34,2424,367,Community transmission
Argentina,Americas,1770715,39178.77,80709,13286,45125,998.43,1003,142,Community transmission
Mexico,Americas,1588369,12319.36,94800,16468,137916,1069.67,6885,999,Community transmission
Turkey,Europe,1558777,18482.27,65534,8314,23664,280.58,1214,169,Community transmission
Poland,Europe,1429612,37773.84,53223,7292,33213,877.57,2202,369,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1318295,15695.31,43781,6485,56621,674.12,603,83,Community transmission
South Africa,Africa,1311686,22116.25,119116,14880,36467,614.87,4042,615,Community transmission
Ukraine,Europe,1154692,26402.76,44677,7729,20686,473,1018,144,Community transmission
Peru,Americas,1048662,31804.76,21972,5022,38564,1169.6,515,91,Community transmission
Netherlands,Europe,901696,52623.45,43161,6093,12868,750.98,702,96,Community transmission
Czechia,Europe,883906,82538.76,61190,9301,14215,1327.39,1237,186,Community transmission
Indonesia,South-East Asia,882418,3226.11,74078,12818,25484,93.17,1731,238,Community transmission
Canada,Americas,688891,18252.56,53757,7563,17538,464.68,959,155,Community transmission
Romania,Europe,688270,35777.16,24491,3353,17098,888.78,592,63,Community transmission
Belgium,Europe,675089,58249.44,10955,1,20352,1756.05,300,8,Community transmission
Chile,Americas,661180,34587.42,27799,4468,17369,908.6,395,75,Community transmission
Iraq,Eastern Mediterranean,606991,15090.83,5567,805,12932,321.51,55,10,Community transmission
Portugal,Europe,528469,51827.41,61760,10663,8543,837.82,953,159,Clusters of cases
Bangladesh,South-East Asia,526485,3196.84,5795,762,7862,47.74,128,13,Community transmission
Sweden,Europe,523486,51834.07,34063,4707,10323,1022.15,167,3,Community transmission
Israel,Europe,521939,60301.18,48617,0,3845,444.22,242,0,Community transmission
Pakistan,Eastern Mediterranean,514338,2328.46,16828,2417,10863,49.18,305,45,Community transmission
Philippines,Western Pacific,496646,4532.22,12794,2041,9876,90.13,512,137,Community transmission
Switzerland,Europe,492787,56939.17,17183,2394,7930,916.27,385,66,Community transmission
Morocco,Eastern Mediterranean,457625,12398.21,7404,1291,7888,213.71,203,34,Clusters of cases
Austria,Europe,387995,43079.93,12331,1472,6931,769.56,359,51,Community transmission
Serbia,Europe,369823,53106.77,13698,1751,3708,532.47,195,21,Community transmission
Saudi Arabia,Eastern Mediterranean,364613,10473.21,1031,173,6313,181.34,31,3,Sporadic cases
Hungary,Europe,350587,36291.33,10128,1438,11264,1166,710,87,Community transmission
Japan,Western Pacific,315910,2497.78,42756,6696,4380,34.63,448,65,Clusters of cases
Jordan,Eastern Mediterranean,312851,30662.25,7688,808,4121,403.9,132,14,Community transmission
Panama,Americas,291285,67508.86,22194,2877,4651,1077.93,330,57,Community transmission
Nepal,South-East Asia,266816,9157.35,2657,270,1948,66.86,39,5,Clusters of cases
Georgia,Europe,247025,61923.96,8939,1236,2916,730.98,166,23,Community transmission
United Arab Emirates,Eastern Mediterranean,246376,24910.62,21672,3407,733,74.11,36,7,Community transmission
Lebanon,Eastern Mediterranean,243286,35643.98,33147,6154,1825,267.38,255,44,Community transmission
Ecuador,Americas,226866,12858.66,7718,864,14273,808.99,108,27,Community transmission
Azerbaijan,Europe,226549,22343.92,3132,349,2983,294.21,114,12,Clusters of cases
Croatia,Europe,224575,54704.12,5228,763,4588,1117.59,246,38,Community transmission
Slovakia,Europe,222752,40799.74,17516,2045,3417,625.87,581,55,Clusters of cases
Belarus,Europe,221604,23451.84,13003,1941,1564,165.51,66,10,Community transmission
Kazakhstan,Europe,211901,11285.31,3305,0,2885,153.65,40,0,Clusters of cases
Bulgaria,Europe,211503,30438.9,3491,552,8457,1217.11,379,61,Clusters of cases
Dominican Republic,Americas,188969,17419.85,10431,1482,2432,224.19,8,4,Community transmission
Denmark,Europe,187320,32340.03,8823,659,1720,296.95,203,17,Community transmission
Costa Rica,Americas,183242,35971.29,6835,1086,2401,471.33,115,17,Community transmission
Bolivia (Plurinational State of),Americas,181016,15507.21,12125,2198,9530,816.41,226,37,Community transmission
Tunisia,Eastern Mediterranean,175065,14812.64,20162,4170,5528,467.74,420,50,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,170210,33365.26,5815,822,1848,362.25,141,27,Community transmission
Lithuania,Europe,166680,61227.89,8498,1120,2414,886.75,241,38,Community transmission
Ireland,Europe,166548,33729.29,30664,3491,2536,513.59,209,48,Community transmission
Armenia,Europe,164235,55424.07,2441,263,2987,1008.02,65,13,Community transmission
Kuwait,Eastern Mediterranean,156964,36754.8,3491,530,947,221.75,7,1,Community transmission
Egypt,Eastern Mediterranean,154620,1510.93,6810,879,8473,82.8,388,52,Clusters of cases
Republic of Moldova,Europe,152263,37745.26,3594,576,3228,800.21,106,17,Community transmission
Malaysia,Western Pacific,151066,4667.43,19958,3211,586,18.11,49,8,Clusters of cases
Greece,Europe,147860,14185.86,4366,577,5421,520.1,226,34,Community transmission
Guatemala,Americas,147560,8236.41,5496,623,5177,288.97,205,26,Community transmission
Slovenia,Europe,147016,70716.88,8498,1538,3277,1576.29,136,41,Clusters of cases
Qatar,Eastern Mediterranean,146885,50983.1,1419,196,246,85.39,0,0,Community transmission
Myanmar,South-East Asia,133378,2451.36,3895,513,2926,53.78,114,14,Clusters of cases
Honduras,Americas,131963,13323.4,6406,954,3335,336.71,91,15,Community transmission
Oman,Eastern Mediterranean,131264,25704.64,1194,0,1509,295.5,4,0,Community transmission
Ethiopia,Africa,130326,1133.63,2754,404,2023,17.6,49,15,Community transmission
Paraguay,Americas,119640,16773.83,6784,1048,2467,345.88,115,15,Community transmission
Venezuela (Bolivarian Republic of),Americas,118415,4164.27,3093,604,1090,38.33,38,6,Community transmission
Bosnia and Herzegovina,Europe,117011,35665.18,2091,0,4411,1344.48,126,0,Community transmission
Libya,Eastern Mediterranean,108017,15720.04,4015,583,1651,240.28,83,6,Community transmission
Nigeria,Africa,107345,520.74,9867,1867,1413,6.85,71,8,Community transmission
Algeria,Africa,102860,2345.67,1203,0,2819,64.29,21,0,Community transmission
Kenya,Africa,98859,1838.51,905,166,1726,32.1,23,3,Community transmission
China,Western Pacific,98459,66.92,1072,169,4803,3.26,7,0,Clusters of cases
Bahrain,Eastern Mediterranean,97021,57018.35,1991,209,357,209.81,3,1,Clusters of cases
North Macedonia,Europe,88389,42425.77,2795,403,2682,1287.33,90,10,Community transmission
Puerto Rico,Americas,85954,30044.89,3887,1138,1692,591.43,100,13,Community transmission
Kyrgyzstan,Europe,82986,12719.73,848,129,1382,211.83,15,1,Clusters of cases
Uzbekistan,Europe,77904,2327.63,374,59,619,18.49,3,0,Clusters of cases
Republic of Korea,Western Pacific,71820,1400.84,3822,580,1236,24.11,136,19,Clusters of cases
Albania,Europe,66635,23154.86,4257,641,1265,439.57,35,4,Clusters of cases
Singapore,Western Pacific,59059,10094.97,223,30,29,4.96,0,0,Sporadic cases
Norway,Europe,57734,10649.59,3942,0,517,95.37,46,0,Community transmission
Ghana,Africa,56981,1833.78,1520,0,341,10.97,5,0,Community transmission
Kosovo[1],Europe,55092,29613.29,1871,296,1389,746.62,31,7,Community transmission
Montenegro,Europe,54815,87275.86,2416,0,741,1179.81,20,0,Clusters of cases
Latvia,Europe,54066,28664.01,6284,1084,920,487.75,119,0,Community transmission
Afghanistan,Eastern Mediterranean,53938,1385.57,538,107,2336,60.01,72,12,Clusters of cases
Sri Lanka,South-East Asia,51594,2409.44,4289,695,255,11.91,33,4,Clusters of cases
El Salvador,Americas,50157,7732.87,1902,0,1469,226.48,71,10,Community transmission
Luxembourg,Europe,48622,77673.66,882,143,549,877.03,22,4,Community transmission
Finland,Europe,39911,7203.22,1843,318,618,111.54,32,2,Community transmission
